#blockage_shd_lengthdep outage time_outage afb_tot afb_magL1_d1 afb_tot afb_magL1_d2 afb_tot afb_magL2_d1 afb_tot afb_magL2_d2 afb0_tot afb0_magL1_d1 afb0_tot afb0_magL1_d2 afb0_tot afb0_magL2_d1 afb0_tot afb0_magL2_d2
blockage_shd_lengthdep  1  5.019000E+03  1.501782E-01  7.476634E-02  1.501782E-01  7.476634E-02  1.000000E+00  6.219074E-01  1.000000E+00  6.219074E-01  1.126337E-01  5.607475E-02  1.126337E-01  5.607475E-02  9.376992E-01  4.664305E-01  9.376992E-01  4.664305E-01
blockage_shd_lengthdep  2  5.458000E+03  7.315443E-02  4.251047E-02  7.315443E-02  4.251047E-02  9.489793E-01  5.794050E-01  9.489793E-01  5.794050E-01  5.486582E-02  3.188285E-02  5.486582E-02  3.188285E-02  7.117345E-01  4.345538E-01  7.117345E-01  4.345538E-01
blockage_shd_lengthdep  3  7.241000E+03  2.433963E-01  1.309270E-01  2.433963E-01  1.309270E-01  8.437264E-01  1.230845E-01  8.437264E-01  1.230845E-01  1.825472E-01  9.819522E-02  1.825472E-01  9.819522E-02  6.327948E-01  9.231341E-02  6.327948E-01  9.231341E-02
blockage_shd_lengthdep  4  9.864000E+03  3.552229E-01  1.611457E-01  3.552229E-01  1.611457E-01  1.000000E+00  2.163620E-01  1.000000E+00  2.163620E-01  2.664172E-01  1.208592E-01  2.664172E-01  1.208592E-01  7.958892E-01  1.622715E-01  7.958892E-01  1.622715E-01
blockage_shd_lengthdep  5  1.231900E+04  3.163493E-01  1.136223E-01  3.163493E-01  1.136223E-01  1.000000E+00  2.159210E-01  1.000000E+00  2.159210E-01  2.372620E-01  8.521675E-02  2.372620E-01  8.521675E-02  8.794052E-01  1.619407E-01  8.794052E-01  1.619407E-01
blockage_shd_lengthdep  6  1.494200E+04  3.804739E-01  1.050298E-01  3.804739E-01  1.050298E-01  1.000000E+00  1.915702E-01  1.000000E+00  1.915702E-01  2.853554E-01  7.877238E-02  2.853554E-01  7.877238E-02  9.584428E-01  1.436776E-01  9.584428E-01  1.436776E-01
blockage_shd_lengthdep  7  1.756500E+04  4.082515E-01  9.513439E-02  4.082515E-01  9.513439E-02  1.000000E+00  1.793701E-01  1.000000E+00  1.793701E-01  3.061886E-01  7.135079E-02  3.061886E-01  7.135079E-02  1.000000E+00  1.345276E-01  1.000000E+00  1.345276E-01
blockage_shd_lengthdep  8  2.018800E+04  4.406723E-01  8.197699E-02  4.406723E-01  8.197699E-02  1.000000E+00  1.651379E-01  1.000000E+00  1.651379E-01  3.305042E-01  6.148275E-02  3.305042E-01  6.148275E-02  1.000000E+00  1.238534E-01  1.000000E+00  1.238534E-01
blockage_shd_lengthdep  9  2.297900E+04  4.836824E-01  7.514929E-02  4.836824E-01  7.514929E-02  1.000000E+00  1.591866E-01  1.000000E+00  1.591866E-01  3.627618E-01  5.636197E-02  3.627618E-01  5.636197E-02  1.000000E+00  1.193899E-01  1.000000E+00  1.193899E-01
blockage_shd_lengthdep 10  2.560200E+04  5.071338E-01  6.495102E-02  5.071338E-01  6.495102E-02  1.000000E+00  1.482377E-01  1.000000E+00  1.482377E-01  3.803504E-01  4.871327E-02  3.803504E-01  4.871327E-02  1.000000E+00  1.111783E-01  1.000000E+00  1.111783E-01
