 d_f t_f d_p t_p uel_dil_sp_f uel_dil_mag_f uel_dil_tot_f uel_dil_sp_p uel_dil_mag_p uel_dil_tot_p
 3.15268E+00  1.47000E+02  3.16339E+00  1.48000E+02 -1.08864E-03 -8.01037E-04 -1.88967E-03 -1.09225E-03 -8.03576E-04 -1.89583E-03
 4.61505E+00  3.15000E+02  4.62237E+00  3.16000E+02 -1.59025E-03 -1.16943E-03 -2.75968E-03 -1.59269E-03 -1.17111E-03 -2.76380E-03
 6.44291E+00  4.83000E+02  6.45290E+00  4.84000E+02 -2.21498E-03 -1.62653E-03 -3.84151E-03 -2.21826E-03 -1.62870E-03 -3.84696E-03
 7.94608E+00  6.51000E+02  7.95418E+00  6.52000E+02 -2.72646E-03 -1.99993E-03 -4.72639E-03 -2.72909E-03 -2.00162E-03 -4.73071E-03
 9.20756E+00  8.19000E+02  9.21455E+00  8.20000E+02 -3.15408E-03 -2.31157E-03 -5.46565E-03 -3.15633E-03 -2.31298E-03 -5.46931E-03
 1.03163E+01  9.87000E+02  1.03226E+01  9.88000E+02 -3.52871E-03 -2.58419E-03 -6.11290E-03 -3.53069E-03 -2.58541E-03 -6.11610E-03
 1.13173E+01  1.15500E+03  1.13230E+01  1.15600E+03 -3.86594E-03 -2.82927E-03 -6.69520E-03 -3.86773E-03 -2.83034E-03 -6.69807E-03
 1.22369E+01  1.32300E+03  1.22422E+01  1.32400E+03 -4.17494E-03 -3.05356E-03 -7.22850E-03 -4.17659E-03 -3.05452E-03 -7.23111E-03
 1.30923E+01  1.49100E+03  1.30973E+01  1.49200E+03 -4.46167E-03 -3.26144E-03 -7.72311E-03 -4.46320E-03 -3.26232E-03 -7.72551E-03
 1.38954E+01  1.65900E+03  1.39000E+01  1.66000E+03 -4.73023E-03 -3.45594E-03 -8.18617E-03 -4.73166E-03 -3.45674E-03 -8.18840E-03
 1.46547E+01  1.82700E+03  1.46591E+01  1.82800E+03 -4.98361E-03 -3.63925E-03 -8.62286E-03 -4.98495E-03 -3.64000E-03 -8.62495E-03
 1.53767E+01  1.99500E+03  1.53809E+01  1.99600E+03 -5.22404E-03 -3.81304E-03 -9.03708E-03 -5.22532E-03 -3.81373E-03 -9.03905E-03
 1.60665E+01  2.16300E+03  1.60705E+01  2.16400E+03 -5.45329E-03 -3.97858E-03 -9.43187E-03 -5.45450E-03 -3.97923E-03 -9.43373E-03
 1.67279E+01  2.33100E+03  1.67318E+01  2.33200E+03 -5.67272E-03 -4.13689E-03 -9.80961E-03 -5.67388E-03 -4.13750E-03 -9.81137E-03
 1.73643E+01  2.49900E+03  1.73681E+01  2.50000E+03 -5.88345E-03 -4.28880E-03 -1.01723E-02 -5.88456E-03 -4.28937E-03 -1.01739E-02
 1.79784E+01  2.66700E+03  1.79820E+01  2.66800E+03 -6.08642E-03 -4.43498E-03 -1.05214E-02 -6.08748E-03 -4.43552E-03 -1.05230E-02
 1.85722E+01  2.83500E+03  1.85757E+01  2.83600E+03 -6.28238E-03 -4.57601E-03 -1.08584E-02 -6.28340E-03 -4.57652E-03 -1.08599E-02
 1.91477E+01  3.00300E+03  1.91511E+01  3.00400E+03 -6.47199E-03 -4.71236E-03 -1.11843E-02 -6.47298E-03 -4.71284E-03 -1.11858E-02
 1.97066E+01  3.17100E+03  1.97098E+01  3.17200E+03 -6.65580E-03 -4.84443E-03 -1.15002E-02 -6.65676E-03 -4.84489E-03 -1.15016E-02
 2.02501E+01  3.33900E+03  2.02533E+01  3.34000E+03 -6.83429E-03 -4.97259E-03 -1.18069E-02 -6.83522E-03 -4.97303E-03 -1.18082E-02
 2.07794E+01  3.50700E+03  2.07826E+01  3.50800E+03 -7.00788E-03 -5.09714E-03 -1.21050E-02 -7.00878E-03 -5.09756E-03 -1.21063E-02
 2.12958E+01  3.67500E+03  2.12988E+01  3.67600E+03 -7.17694E-03 -5.21835E-03 -1.23953E-02 -7.17781E-03 -5.21875E-03 -1.23966E-02
 2.17999E+01  3.84300E+03  2.18029E+01  3.84400E+03 -7.34178E-03 -5.33645E-03 -1.26782E-02 -7.34263E-03 -5.33683E-03 -1.26795E-02
 2.22928E+01  4.01100E+03  2.22957E+01  4.01200E+03 -7.50269E-03 -5.45166E-03 -1.29543E-02 -7.50351E-03 -5.45202E-03 -1.29555E-02
 2.27750E+01  4.17900E+03  2.27778E+01  4.18000E+03 -7.65992E-03 -5.56416E-03 -1.32241E-02 -7.66073E-03 -5.56451E-03 -1.32252E-02
 2.32473E+01  4.34700E+03  2.32501E+01  4.34800E+03 -7.81371E-03 -5.67412E-03 -1.34878E-02 -7.81449E-03 -5.67445E-03 -1.34889E-02
 2.37103E+01  4.51500E+03  2.37130E+01  4.51600E+03 -7.96425E-03 -5.78170E-03 -1.37459E-02 -7.96502E-03 -5.78201E-03 -1.37470E-02
 2.41645E+01  4.68300E+03  2.41671E+01  4.68400E+03 -8.11174E-03 -5.88702E-03 -1.39988E-02 -8.11249E-03 -5.88732E-03 -1.39998E-02
 2.46103E+01  4.85100E+03  2.46129E+01  4.85200E+03 -8.25634E-03 -5.99022E-03 -1.42466E-02 -8.25707E-03 -5.99051E-03 -1.42476E-02
 9.15761E+01  5.01900E+03  2.53054E+01  5.11900E+03 -6.96948E-02 -6.17809E-02 -1.31476E-01  1.73275E+01  7.45745E+00  2.47850E+01
 2.57417E+01  5.29000E+03  2.57442E+01  5.29100E+03 -8.62245E-03 -6.25121E-03 -1.48737E-02 -8.62314E-03 -6.25147E-03 -1.48746E-02
 7.06896E+01  5.45800E+03  2.64073E+01  5.55800E+03 -7.35714E-02 -3.11821E-02 -1.04753E-01  1.81109E+01  3.72002E+00  2.18309E+01
 2.68258E+01  5.72900E+03  2.68282E+01  5.73000E+03 -8.97214E-03 -6.50011E-03 -1.54723E-02 -8.97280E-03 -6.50035E-03 -1.54731E-02
 2.72284E+01  5.89700E+03  2.72308E+01  5.89800E+03 -9.10174E-03 -6.59226E-03 -1.56940E-02 -9.10239E-03 -6.59248E-03 -1.56949E-02
 2.76253E+01  6.06500E+03  2.76276E+01  6.06600E+03 -9.22932E-03 -6.68292E-03 -1.59122E-02 -9.22995E-03 -6.68313E-03 -1.59131E-02
 2.80165E+01  6.23300E+03  2.80188E+01  6.23400E+03 -9.35496E-03 -6.77215E-03 -1.61271E-02 -9.35558E-03 -6.77236E-03 -1.61279E-02
 2.84024E+01  6.40100E+03  2.84047E+01  6.40200E+03 -9.47875E-03 -6.86002E-03 -1.63388E-02 -9.47936E-03 -6.86022E-03 -1.63396E-02
 2.87832E+01  6.56900E+03  2.87854E+01  6.57000E+03 -9.60075E-03 -6.94657E-03 -1.65473E-02 -9.60135E-03 -6.94677E-03 -1.65481E-02
 2.91590E+01  6.73700E+03  2.91612E+01  6.73800E+03 -9.72105E-03 -7.03187E-03 -1.67529E-02 -9.72164E-03 -7.03206E-03 -1.67537E-02
 2.95301E+01  6.90500E+03  2.95323E+01  6.90600E+03 -9.83970E-03 -7.11596E-03 -1.69557E-02 -9.84028E-03 -7.11614E-03 -1.69564E-02
 2.98967E+01  7.07300E+03  2.98988E+01  7.07400E+03 -9.95676E-03 -7.19887E-03 -1.71556E-02 -9.95733E-03 -7.19905E-03 -1.71564E-02
 6.33288E+01  7.24100E+03  3.04445E+01  7.34100E+03 -8.51246E-02 -1.11950E-02 -9.63196E-02  2.08842E+01  1.33107E+00  2.22153E+01
 3.08083E+01  7.51200E+03  3.08104E+01  7.51300E+03 -1.02567E-02 -7.39778E-03 -1.76545E-02 -1.02572E-02 -7.39794E-03 -1.76552E-02
 3.11597E+01  7.68000E+03  3.11617E+01  7.68100E+03 -1.03685E-02 -7.47682E-03 -1.78453E-02 -1.03690E-02 -7.47697E-03 -1.78460E-02
 3.15071E+01  7.84800E+03  3.15092E+01  7.84900E+03 -1.04789E-02 -7.55487E-03 -1.80338E-02 -1.04795E-02 -7.55502E-03 -1.80345E-02
 3.18508E+01  8.01600E+03  3.18528E+01  8.01700E+03 -1.05881E-02 -7.63197E-03 -1.82200E-02 -1.05886E-02 -7.63210E-03 -1.82207E-02
 3.21909E+01  8.18400E+03  3.21929E+01  8.18500E+03 -1.06959E-02 -7.70813E-03 -1.84041E-02 -1.06965E-02 -7.70826E-03 -1.84047E-02
 3.25274E+01  8.35200E+03  3.25294E+01  8.35300E+03 -1.08026E-02 -7.78339E-03 -1.85860E-02 -1.08031E-02 -7.78352E-03 -1.85866E-02
 3.28606E+01  8.52000E+03  3.28625E+01  8.52100E+03 -1.09081E-02 -7.85778E-03 -1.87659E-02 -1.09086E-02 -7.85791E-03 -1.87665E-02
 3.31904E+01  8.68800E+03  3.31924E+01  8.68900E+03 -1.10124E-02 -7.93133E-03 -1.89437E-02 -1.10129E-02 -7.93145E-03 -1.89443E-02
 3.35170E+01  8.85600E+03  3.35190E+01  8.85700E+03 -1.11156E-02 -8.00406E-03 -1.91197E-02 -1.11161E-02 -8.00417E-03 -1.91203E-02
 3.38405E+01  9.02400E+03  3.38425E+01  9.02500E+03 -1.12177E-02 -8.07598E-03 -1.92937E-02 -1.12182E-02 -8.07609E-03 -1.92943E-02
 3.41610E+01  9.19200E+03  3.41629E+01  9.19300E+03 -1.13188E-02 -8.14713E-03 -1.94659E-02 -1.13193E-02 -8.14724E-03 -1.94665E-02
 3.44786E+01  9.36000E+03  3.44804E+01  9.36100E+03 -1.14189E-02 -8.21753E-03 -1.96364E-02 -1.14193E-02 -8.21763E-03 -1.96370E-02
 3.47932E+01  9.52800E+03  3.47951E+01  9.52900E+03 -1.15179E-02 -8.28720E-03 -1.98051E-02 -1.15184E-02 -8.28730E-03 -1.98057E-02
 3.51051E+01  9.69600E+03  3.51070E+01  9.69700E+03 -1.16160E-02 -8.35615E-03 -1.99721E-02 -1.16165E-02 -8.35624E-03 -1.99727E-02
 7.69537E+01  9.86400E+03  3.51325E+01  9.96400E+03 -9.86640E-02 -1.71148E-02 -1.15779E-01  2.43657E+01  2.05290E+00  2.64186E+01
 3.54447E+01  1.01350E+04  3.54465E+01  1.01360E+04 -1.18769E-02 -8.31934E-03 -2.01962E-02 -1.18773E-02 -8.31943E-03 -2.01968E-02
 3.57470E+01  1.03030E+04  3.57488E+01  1.03040E+04 -1.19717E-02 -8.38606E-03 -2.03578E-02 -1.19722E-02 -8.38615E-03 -2.03583E-02
 3.60469E+01  1.04710E+04  3.60487E+01  1.04720E+04 -1.20657E-02 -8.45215E-03 -2.05178E-02 -1.20661E-02 -8.45223E-03 -2.05183E-02
 3.63444E+01  1.06390E+04  3.63461E+01  1.06400E+04 -1.21588E-02 -8.51762E-03 -2.06764E-02 -1.21592E-02 -8.51769E-03 -2.06769E-02
 3.66395E+01  1.08070E+04  3.66412E+01  1.08080E+04 -1.22511E-02 -8.58248E-03 -2.08336E-02 -1.22516E-02 -8.58255E-03 -2.08341E-02
 3.69323E+01  1.09750E+04  3.69340E+01  1.09760E+04 -1.23426E-02 -8.64675E-03 -2.09894E-02 -1.23431E-02 -8.64682E-03 -2.09899E-02
 3.72228E+01  1.11430E+04  3.72245E+01  1.11440E+04 -1.24334E-02 -8.71045E-03 -2.11438E-02 -1.24338E-02 -8.71052E-03 -2.11443E-02
 3.75112E+01  1.13110E+04  3.75129E+01  1.13120E+04 -1.25233E-02 -8.77358E-03 -2.12969E-02 -1.25238E-02 -8.77364E-03 -2.12974E-02
 3.77974E+01  1.14790E+04  3.77991E+01  1.14800E+04 -1.26126E-02 -8.83616E-03 -2.14487E-02 -1.26130E-02 -8.83622E-03 -2.14492E-02
 3.80815E+01  1.16470E+04  3.80832E+01  1.16480E+04 -1.27011E-02 -8.89821E-03 -2.15993E-02 -1.27015E-02 -8.89826E-03 -2.15997E-02
 3.83635E+01  1.18150E+04  3.83652E+01  1.18160E+04 -1.27888E-02 -8.95972E-03 -2.17486E-02 -1.27892E-02 -8.95978E-03 -2.17490E-02
 3.86436E+01  1.19830E+04  3.86452E+01  1.19840E+04 -1.28759E-02 -9.02072E-03 -2.18967E-02 -1.28763E-02 -9.02078E-03 -2.18971E-02
 3.89217E+01  1.21510E+04  3.89233E+01  1.21520E+04 -1.29623E-02 -9.08122E-03 -2.20435E-02 -1.29627E-02 -9.08127E-03 -2.20440E-02
 8.36581E+01  1.23190E+04  3.84160E+01  1.24190E+04 -1.09924E-01 -1.58515E-02 -1.25776E-01  2.72361E+01  1.91029E+00  2.91464E+01
 3.86956E+01  1.25900E+04  3.86972E+01  1.25910E+04 -1.32046E-02 -8.80587E-03 -2.20104E-02 -1.32050E-02 -8.80592E-03 -2.20109E-02
 3.89668E+01  1.27580E+04  3.89684E+01  1.27590E+04 -1.32887E-02 -8.86499E-03 -2.21537E-02 -1.32891E-02 -8.86504E-03 -2.21541E-02
 3.92363E+01  1.29260E+04  3.92379E+01  1.29270E+04 -1.33722E-02 -8.92365E-03 -2.22959E-02 -1.33726E-02 -8.92370E-03 -2.22963E-02
 3.95040E+01  1.30940E+04  3.95056E+01  1.30950E+04 -1.34551E-02 -8.98185E-03 -2.24370E-02 -1.34555E-02 -8.98190E-03 -2.24374E-02
 3.97699E+01  1.32620E+04  3.97715E+01  1.32630E+04 -1.35374E-02 -9.03962E-03 -2.25770E-02 -1.35378E-02 -9.03966E-03 -2.25774E-02
 4.00342E+01  1.34300E+04  4.00358E+01  1.34310E+04 -1.36191E-02 -9.09695E-03 -2.27160E-02 -1.36195E-02 -9.09699E-03 -2.27165E-02
 4.02969E+01  1.35980E+04  4.02984E+01  1.35990E+04 -1.37002E-02 -9.15385E-03 -2.28541E-02 -1.37006E-02 -9.15389E-03 -2.28545E-02
 4.05579E+01  1.37660E+04  4.05594E+01  1.37670E+04 -1.37808E-02 -9.21034E-03 -2.29911E-02 -1.37812E-02 -9.21038E-03 -2.29915E-02
 4.08173E+01  1.39340E+04  4.08189E+01  1.39350E+04 -1.38608E-02 -9.26641E-03 -2.31272E-02 -1.38612E-02 -9.26645E-03 -2.31276E-02
 4.10752E+01  1.41020E+04  4.10767E+01  1.41030E+04 -1.39403E-02 -9.32208E-03 -2.32624E-02 -1.39406E-02 -9.32212E-03 -2.32628E-02
 4.13315E+01  1.42700E+04  4.13330E+01  1.42710E+04 -1.40192E-02 -9.37736E-03 -2.33966E-02 -1.40196E-02 -9.37739E-03 -2.33970E-02
 4.15863E+01  1.44380E+04  4.15878E+01  1.44390E+04 -1.40976E-02 -9.43224E-03 -2.35299E-02 -1.40980E-02 -9.43227E-03 -2.35303E-02
 4.18397E+01  1.46060E+04  4.18412E+01  1.46070E+04 -1.41755E-02 -9.48675E-03 -2.36623E-02 -1.41759E-02 -9.48677E-03 -2.36627E-02
 4.20916E+01  1.47740E+04  4.20930E+01  1.47750E+04 -1.42529E-02 -9.54087E-03 -2.37938E-02 -1.42533E-02 -9.54090E-03 -2.37942E-02
 8.98855E+01  1.49420E+04  4.04459E+01  1.50420E+04 -1.20726E-01 -1.43189E-02 -1.35045E-01  3.00047E+01  1.73320E+00  3.17379E+01
