#energy_armitt_areaex ih length en_m aX_m1 en_m aX_m2 en_m aX_m3 en_m aX_m4 en_m aX_m5 en_m aX_m6 en_m aX_m7 en_m aX_m8 en_m aX_m9 en_m aX_m10 en_t aX_t1 en_t aX_t2 en_t aX_t3 en_t aX_t4 en_t aX_t5 en_t aX_t6 en_t aX_t7 en_t aX_t8 en_t aX_t9 en_t aX_t10
energy_armitt_areaex  1  0.000000E+00  2.853331E+00  0.000000E+00  2.980400E+00  0.000000E+00  3.448652E+00  1.846563E-03  4.035113E+00  2.630694E-02  4.414987E+00  4.782526E-02  4.666692E+00  9.381563E-02  4.626265E+00  1.442221E-01  4.240648E+00  1.773900E-01  3.602026E+00  1.651335E-01  2.924073E+00  1.342343E-01  7.072897E+00  0.000000E+00  7.387751E+00  0.000000E+00  8.547887E+00  1.846563E-03  1.001008E+01  2.630694E-02  1.110843E+01  4.782526E-02  1.205259E+01  9.381563E-02  1.264704E+01  1.442221E-01  1.285173E+01  1.773900E-01  1.280130E+01  1.651335E-01  1.264474E+01  1.342343E-01
energy_armitt_areaex  2  2.054000E+00  3.073222E+00  0.000000E+00  3.207962E+00  0.000000E+00  3.705204E+00  1.559408E-02  4.278035E+00  4.127149E-02  4.616833E+00  9.305451E-02  4.663823E+00  1.792182E-01  4.160224E+00  2.105021E-01  3.359471E+00  1.802814E-01  2.655594E+00  1.664216E-01  1.919641E+00  1.339934E-01  7.772355E+00  0.000000E+00  8.112927E+00  0.000000E+00  9.369609E+00  1.559408E-02  1.090549E+01  4.127149E-02  1.203544E+01  9.305451E-02  1.284593E+01  1.792182E-01  1.304352E+01  2.105021E-01  1.289459E+01  1.802814E-01  1.283866E+01  1.664216E-01  1.267725E+01  1.339934E-01
energy_armitt_areaex  3  4.107000E+00  3.282493E+00  6.770517E-04  3.424223E+00  6.854965E-03  3.932012E+00  2.939223E-02  4.489496E+00  8.247208E-02  4.660447E+00  1.828295E-01  4.244322E+00  2.545587E-01  3.274602E+00  2.156720E-01  2.386606E+00  1.812808E-01  1.627471E+00  1.688092E-01  1.366657E+00  2.308490E-01  8.477966E+00  6.770517E-04  8.847278E+00  6.854965E-03  1.019484E+01  2.939223E-02  1.181739E+01  8.247208E-02  1.286378E+01  1.828295E-01  1.329335E+01  2.545587E-01  1.310015E+01  2.156720E-01  1.293227E+01  1.812808E-01  1.288889E+01  1.688092E-01  1.326005E+01  2.308490E-01
energy_armitt_areaex  4  6.161000E+00  3.505123E+00  1.366437E-02  3.610939E+00  1.963492E-02  4.106522E+00  4.431953E-02  4.638911E+00  1.633639E-01  4.420662E+00  3.330977E-01  3.142530E+00  2.257543E-01  2.282397E+00  2.198052E-01  1.376247E+00  1.946360E-01  1.387037E+00  4.415151E-01  9.398099E-01  4.594985E-01  9.254245E+00  1.366437E-02  9.612030E+00  1.963492E-02  1.103699E+01  4.431953E-02  1.274820E+01  1.633639E-01  1.350001E+01  3.330977E-01  1.316030E+01  2.257543E-01  1.315750E+01  2.198052E-01  1.304729E+01  1.946360E-01  1.384529E+01  4.415151E-01  1.409884E+01  4.594985E-01
energy_armitt_areaex  5  8.214000E+00  3.744830E+00  2.808653E-02  3.803546E+00  3.370062E-02  4.277103E+00  8.914572E-02  4.642213E+00  4.014186E-01  3.148496E+00  2.348130E-01  2.364316E+00  2.783209E-01  1.356843E+00  2.557034E-01  1.349231E+00  4.703975E-01  9.327547E-01  4.868781E-01  7.356944E-01  4.985751E-01  1.011629E+01  2.808653E-02  1.045391E+01  3.370062E-02  1.195578E+01  8.914572E-02  1.362585E+01  4.014186E-01  1.320953E+01  2.348130E-01  1.345998E+01  2.783209E-01  1.340126E+01  2.557034E-01  1.426923E+01  4.703975E-01  1.472734E+01  4.868781E-01  1.530453E+01  4.985751E-01
energy_armitt_areaex  6  1.026800E+01  4.020279E+00  4.859495E-02  3.998661E+00  6.238362E-02  4.379496E+00  1.931755E-01  4.259680E+00  4.741316E-01  2.244854E+00  2.656710E-01  1.384400E+00  3.801580E-01  1.221284E+00  4.833576E-01  9.371101E-01  4.980521E-01  8.284631E-01  5.081372E-01  7.492354E-01  5.116861E-01  1.112209E+01  4.859495E-02  1.140790E+01  6.238362E-02  1.292241E+01  1.931755E-01  1.424380E+01  4.741316E-01  1.342002E+01  2.656710E-01  1.370180E+01  3.801580E-01  1.458226E+01  4.833576E-01  1.526847E+01  4.980521E-01  1.612543E+01  5.081372E-01  1.690260E+01  5.116861E-01
energy_armitt_areaex  7  1.106200E+01  4.121696E+00  6.764202E-02  4.020947E+00  7.810148E-02  4.343716E+00  2.468657E-01  3.953875E+00  4.779571E-01  1.865814E+00  2.876383E-01  1.338295E+00  4.654023E-01  1.122947E+00  4.932355E-01  8.923183E-01  5.066800E-01  8.335619E-01  5.110082E-01  7.666955E-01  5.147772E-01  1.151150E+01  6.764202E-02  1.173097E+01  7.810148E-02  1.323357E+01  2.468657E-01  1.434393E+01  4.779571E-01  1.349495E+01  2.876383E-01  1.415412E+01  4.654023E-01  1.502525E+01  4.932355E-01  1.580427E+01  5.066800E-01  1.675031E+01  5.110082E-01  1.757491E+01  5.147772E-01
energy_armitt_areaex  8  1.311600E+01  4.017136E+00  5.895969E-02  3.953628E+00  7.108687E-02  4.296342E+00  2.229287E-01  4.031409E+00  4.767642E-01  2.004518E+00  2.982233E-01  1.290006E+00  4.510508E-01  1.105085E+00  4.897498E-01  8.821511E-01  5.054593E-01  8.147238E-01  5.101047E-01  7.466092E-01  5.138115E-01  1.133389E+01  5.895969E-02  1.158665E+01  7.108687E-02  1.309466E+01  2.229287E-01  1.431108E+01  4.767642E-01  1.350914E+01  2.982233E-01  1.396823E+01  4.510508E-01  1.485592E+01  4.897498E-01  1.562960E+01  5.054593E-01  1.655365E+01  5.101047E-01  1.736481E+01  5.138115E-01
energy_armitt_areaex  9  1.516900E+01  4.227392E+00  1.003349E-01  3.985552E+00  1.049248E-01  4.196833E+00  4.440907E-01  2.791406E+00  4.561496E-01  1.228608E+00  3.941525E-01  1.225175E+00  4.928861E-01  1.038599E+00  5.075325E-01  8.776915E-01  5.117294E-01  8.511527E-01  5.165482E-01  7.823589E-01  5.203180E-01  1.217977E+01  1.003349E-01  1.228250E+01  1.049248E-01  1.376070E+01  4.440907E-01  1.396887E+01  4.561496E-01  1.373340E+01  3.941525E-01  1.500099E+01  4.928861E-01  1.598089E+01  5.075325E-01  1.690335E+01  5.117294E-01  1.795485E+01  5.165482E-01  1.884243E+01  5.203180E-01
energy_armitt_areaex 10  1.722300E+01  4.445638E+00  2.234429E-01  3.643576E+00  1.455082E-01  3.676892E+00  4.664453E-01  2.078572E+00  4.702784E-01  1.253874E+00  4.896139E-01  1.120272E+00  5.080491E-01  1.000323E+00  5.132876E-01  9.196064E-01  5.182999E-01  8.915098E-01  5.227302E-01  8.194226E-01  5.263627E-01  1.308659E+01  2.234429E-01  1.266151E+01  1.455082E-01  1.407127E+01  4.664453E-01  1.422590E+01  4.702784E-01  1.483889E+01  4.896139E-01  1.608784E+01  5.080491E-01  1.723535E+01  5.132876E-01  1.833175E+01  5.182999E-01  1.947577E+01  5.227302E-01  2.044354E+01  5.263627E-01
