mass_vol_deposit_total_shd outage t[h] t[d] t[w] m_all_dry1 m_mag_dry1 m_all_wet1 m_mag_wet1 m_all_dry2 m_mag_dry2 m_all_wet2 m_mag_wet2 v_all1 v_mag1 v_all2 v_mag2
mass_vol_deposit_total_shd  1  5.019000E+03  2.091250E+02  2.987500E+01  8.440593E+01  4.202155E+01  8.983746E+01  4.472564E+01  3.722819E+02  1.851805E+02  3.962383E+02  1.970969E+02  1.629458E-05  8.112268E-06  7.186909E-05  3.574914E-05
mass_vol_deposit_total_shd  2  5.458000E+03  2.274167E+02  3.248810E+01  4.111559E+01  2.389251E+01  4.376139E+01  2.543000E+01  2.825702E+02  1.725250E+02  3.007536E+02  1.836269E+02  7.937374E-06  4.612454E-06  5.455023E-05  3.330598E-05
mass_vol_deposit_total_shd  3  7.241000E+03  3.017083E+02  4.310119E+01  1.367980E+02  7.358597E+01  1.456010E+02  7.832123E+01  2.512299E+02  3.664993E+01  2.673965E+02  3.900836E+01  2.640889E-05  1.420579E-05  4.849998E-05  7.075277E-06
mass_vol_deposit_total_shd  4  9.864000E+03  4.110000E+02  5.871429E+01  1.996489E+02  9.057004E+01  2.124963E+02  9.639823E+01  3.159810E+02  6.442445E+01  3.363144E+02  6.857016E+01  3.854226E-05  1.748456E-05  6.100020E-05  1.243715E-05
mass_vol_deposit_total_shd  5  1.231900E+04  5.132917E+02  7.332738E+01  1.778004E+02  6.386010E+01  1.892419E+02  6.796951E+01  3.491382E+02  6.429312E+01  3.716053E+02  6.843038E+01  3.432441E-05  1.232821E-05  6.740121E-05  1.241180E-05
mass_vol_deposit_total_shd  6  1.494200E+04  6.225833E+02  8.894048E+01  2.138409E+02  5.903079E+01  2.276016E+02  6.282943E+01  3.805175E+02  5.704237E+01  4.050038E+02  6.071305E+01  4.128203E-05  1.139591E-05  7.345897E-05  1.101204E-05
mass_vol_deposit_total_shd  7  1.756500E+04  7.318750E+02  1.045536E+02  2.294530E+02  5.346917E+01  2.442183E+02  5.690992E+01  4.110391E+02  5.340966E+01  4.374895E+02  5.684658E+01  4.429595E-05  1.032223E-05  7.935119E-05  1.031075E-05
mass_vol_deposit_total_shd  8  2.018800E+04  8.411667E+02  1.201667E+02  2.476747E+02  4.607421E+01  2.636126E+02  4.903909E+01  4.396819E+02  4.917182E+01  4.679754E+02  5.233603E+01  4.781366E-05  8.894636E-06  8.488067E-05  9.492630E-06
mass_vol_deposit_total_shd  9  2.297900E+04  9.574583E+02  1.367798E+02  2.718481E+02  4.223678E+01  2.893415E+02  4.495472E+01  4.712748E+02  4.739975E+01  5.016014E+02  5.044993E+01  5.248032E-05  8.153819E-06  9.097969E-05  9.150532E-06
mass_vol_deposit_total_shd 10  2.560200E+04  1.066750E+03  1.523929E+02  2.850286E+02  3.650496E+01  3.033703E+02  3.885406E+01  4.973001E+02  4.413959E+01  5.293013E+02  4.697998E+01  5.502483E-05  7.047290E-06  9.600387E-05  8.521157E-06
