 time T1_ox_met uel1_tot uel1_sp eh1_sp_ave uel1_mag eh1_mag_ave T2_ox_met uel2_tot uel2_sp eh2_sp_ave uel2_mag eh2_mag_ave T3_ox_met uel3_tot uel3_sp eh3_sp_ave uel3_mag eh3_mag_ave T4_ox_met uel4_tot uel4_sp eh4_sp_ave uel4_mag eh4_mag_ave T5_ox_met uel5_tot uel5_sp eh5_sp_ave uel5_mag eh5_mag_ave T6_ox_met uel6_tot uel6_sp eh6_sp_ave uel6_mag eh6_mag_ave T7_ox_met uel7_tot uel7_sp eh7_sp_ave uel7_mag eh7_mag_ave T8_ox_met uel8_tot uel8_sp eh8_sp_ave uel8_mag eh8_mag_ave T9_ox_met uel9_tot uel9_sp eh9_sp_ave uel9_mag eh9_mag_ave T10_ox_met uel10_tot uel10_sp eh10_sp_ave uel10_mag eh10_mag_ave
  0.00000E+00 5.86176E+02  1.11931E+00  5.54357E-01  5.30017E-01  5.64955E-01  5.33478E-01  5.85998E+02  8.62528E-01  5.80394E-01  5.30761E-01  2.82134E-01  5.33435E-01  5.85935E+02  7.70945E-01  6.69967E-01  5.31278E-01  1.00978E-01  5.33676E-01  5.86051E+02  9.36949E-01  7.81355E-01  5.31202E-01  1.55595E-01  5.34116E-01  5.86109E+02  1.01813E+00  8.73418E-01  5.31283E-01  1.44712E-01  5.34452E-01  5.86162E+02  1.09347E+00  9.62239E-01  5.31368E-01  1.31235E-01  5.34774E-01  5.86212E+02  1.16492E+00  1.04360E+00  5.31440E-01  1.21317E-01  5.35070E-01  5.86259E+02  1.23054E+00  1.11915E+00  5.31508E-01  1.11393E-01  5.35344E-01  5.86309E+02  1.30220E+00  1.19428E+00  5.31559E-01  1.07914E-01  5.35620E-01  5.02362E+02  6.36897E-01  4.40171E-01  6.20420E-01  1.96726E-01  6.21840E-01
  1.66667E+00 5.71417E+02  8.12525E-01  3.85551E-01  4.26288E-01  4.26974E-01  4.55203E-01  5.71261E+02  6.17330E-01  4.03820E-01  4.27003E-01  2.13510E-01  4.55581E-01  5.71206E+02  5.42598E-01  4.66150E-01  4.27427E-01  7.64477E-02  4.55920E-01  5.71308E+02  6.61081E-01  5.43400E-01  4.27235E-01  1.17681E-01  4.56004E-01  5.71358E+02  7.16647E-01  6.07252E-01  4.27220E-01  1.09394E-01  4.56141E-01  5.71405E+02  7.67984E-01  6.68825E-01  4.27213E-01  9.91586E-02  4.56276E-01  5.71449E+02  8.16817E-01  7.25194E-01  4.27200E-01  9.16233E-02  4.56397E-01  5.71489E+02  8.61609E-01  7.77516E-01  4.27189E-01  8.40936E-02  4.56510E-01  5.71533E+02  9.10943E-01  8.29512E-01  4.27163E-01  8.14307E-02  4.56615E-01  4.94627E+02  5.14575E-01  3.43345E-01  5.44194E-01  1.71230E-01  5.81693E-01
  3.33333E+00 5.56658E+02  6.27070E-01  2.73738E-01  3.30072E-01  3.53332E-01  4.14115E-01  5.56525E+02  4.63765E-01  2.86828E-01  3.30830E-01  1.76937E-01  4.14888E-01  5.56478E+02  3.94526E-01  3.31148E-01  3.31208E-01  6.33773E-02  4.15311E-01  5.56565E+02  4.83371E-01  3.85920E-01  3.30890E-01  9.74514E-02  4.15049E-01  5.56608E+02  5.21745E-01  4.31210E-01  3.30784E-01  9.05343E-02  4.14990E-01  5.56648E+02  5.56892E-01  4.74875E-01  3.30691E-01  8.20169E-02  4.14942E-01  5.56685E+02  5.90582E-01  5.14838E-01  3.30599E-01  7.57439E-02  4.14891E-01  5.56720E+02  6.21409E-01  5.51924E-01  3.30515E-01  6.94851E-02  4.14845E-01  5.56757E+02  6.56016E-01  5.88766E-01  3.30414E-01  6.72496E-02  4.14782E-01  4.86893E+02  4.05735E-01  2.60990E-01  4.68280E-01  1.44745E-01  5.35504E-01
  5.00000E+00 5.41899E+02  5.29906E-01  2.06276E-01  2.40939E-01  3.23631E-01  4.04367E-01  5.41789E+02  3.78444E-01  2.16118E-01  2.41786E-01  1.62327E-01  4.05422E-01  5.41750E+02  3.07705E-01  2.49545E-01  2.42151E-01  5.81601E-02  4.05858E-01  5.41822E+02  3.80209E-01  2.90915E-01  2.41702E-01  8.92932E-02  4.05274E-01  5.41857E+02  4.08017E-01  3.25135E-01  2.41512E-01  8.28820E-02  4.05016E-01  5.41890E+02  4.33163E-01  3.58141E-01  2.41338E-01  7.50221E-02  4.04780E-01  5.41922E+02  4.57594E-01  3.88363E-01  2.41171E-01  6.92304E-02  4.04553E-01  5.41950E+02  4.79887E-01  4.16422E-01  2.41018E-01  6.34644E-02  4.04346E-01  5.41982E+02  5.05687E-01  4.44311E-01  2.40846E-01  6.13764E-02  4.04114E-01  4.79158E+02  3.10340E-01  1.92693E-01  3.92319E-01  1.17647E-01  4.82792E-01
  6.66667E+00 5.27140E+02  4.83290E-01  1.73025E-01  1.57738E-01  3.10265E-01  4.00765E-01  5.27052E+02  3.36921E-01  1.81032E-01  1.58668E-01  1.55889E-01  4.02034E-01  5.27021E+02  2.64852E-01  2.08991E-01  1.59016E-01  5.58603E-02  4.02440E-01  5.27079E+02  3.29563E-01  2.43963E-01  1.58441E-01  8.56006E-02  4.01548E-01  5.27107E+02  3.52237E-01  2.72874E-01  1.58167E-01  7.93630E-02  4.01091E-01  5.27133E+02  3.72557E-01  3.00798E-01  1.57914E-01  7.17586E-02  4.00664E-01  5.27158E+02  3.92560E-01  3.26408E-01  1.57674E-01  6.61516E-02  4.00262E-01  5.27181E+02  4.10802E-01  3.50216E-01  1.57454E-01  6.05853E-02  3.99891E-01  5.27206E+02  4.32459E-01  3.73924E-01  1.57212E-01  5.85347E-02  3.99491E-01  4.71423E+02  2.29310E-01  1.38474E-01  3.16283E-01  9.08358E-02  4.23525E-01
  8.33333E+00 5.12381E+02  4.77584E-01  1.65828E-01  8.05450E-02  3.11757E-01  4.00524E-01  5.12316E+02  3.30004E-01  1.73085E-01  8.15482E-02  1.56919E-01  4.01998E-01  5.12293E+02  2.55945E-01  1.99713E-01  8.18779E-02  5.62326E-02  4.02375E-01  5.12336E+02  3.19611E-01  2.33620E-01  8.11819E-02  8.59913E-02  4.01186E-01  5.12357E+02  3.41235E-01  2.61613E-01  8.08286E-02  7.96221E-02  4.00535E-01  5.12376E+02  3.60609E-01  2.88705E-01  8.04999E-02  7.19045E-02  3.99924E-01  5.12394E+02  3.79821E-01  3.13611E-01  8.01896E-02  6.62101E-02  3.99351E-01  5.12411E+02  3.97382E-01  3.36808E-01  7.99045E-02  6.05746E-02  3.98823E-01  5.12430E+02  4.18432E-01  3.59972E-01  7.95963E-02  5.84597E-02  3.98260E-01  4.63688E+02  1.63887E-01  9.83842E-02  2.40171E-01  6.55026E-02  3.57703E-01
  1.00000E+01 4.97622E+02  5.06801E-01  1.77431E-01  9.28305E-03  3.29371E-01  4.03249E-01  4.97580E+02  3.50781E-01  1.84737E-01  1.03468E-02  1.66043E-01  4.04912E-01  4.97565E+02  2.72533E-01  2.13035E-01  1.06528E-02  5.94986E-02  4.05255E-01  4.97593E+02  3.40528E-01  2.49723E-01  9.84468E-03  9.08044E-02  4.03780E-01  4.97606E+02  3.63942E-01  2.79970E-01  9.41548E-03  8.39719E-02  4.02942E-01  4.97619E+02  3.85039E-01  3.09298E-01  9.01453E-03  7.57410E-02  4.02154E-01  4.97631E+02  4.05985E-01  3.36321E-01  8.63747E-03  6.96642E-02  4.01416E-01  4.97642E+02  4.25202E-01  3.61534E-01  8.29072E-03  6.36680E-02  4.00735E-01  4.97654E+02  4.48158E-01  3.86780E-01  7.91940E-03  6.13782E-02  4.00015E-01  4.55953E+02  1.15592E-01  7.24752E-02  1.63983E-01  4.31163E-02  2.85326E-01
  1.16667E+01 4.82863E+02  5.35864E-01  2.07789E-01 -6.02341E-02  3.28076E-01  3.91128E-01  4.82844E+02  3.81604E-01  2.15976E-01 -5.91701E-02  1.65628E-01  3.92943E-01  4.82837E+02  3.08303E-01  2.48963E-01 -5.89216E-02  5.93398E-02  3.93233E-01  4.82849E+02  3.82653E-01  2.92274E-01 -5.98220E-02  9.03783E-02  3.91488E-01  4.82856E+02  4.11415E-01  3.27947E-01 -6.03231E-02  8.34673E-02  3.90468E-01  4.82862E+02  4.37773E-01  3.62582E-01 -6.07931E-02  7.51907E-02  3.89506E-01  4.82867E+02  4.63623E-01  3.94547E-01 -6.12335E-02  6.90766E-02  3.88607E-01  4.82872E+02  4.87468E-01  4.24406E-01 -6.16388E-02  6.30619E-02  3.87778E-01  4.82878E+02  5.15086E-01  4.54361E-01 -6.20688E-02  6.07249E-02  3.86905E-01  4.48218E+02  8.62501E-02  6.08071E-02  8.76938E-02  2.54431E-02  2.06573E-01
  1.33333E+01 4.68104E+02  5.43620E-01  2.59645E-01 -1.30434E-01  2.83975E-01  3.54490E-01  4.68107E+02  4.13380E-01  2.69689E-01 -1.29429E-01  1.43690E-01  3.56469E-01  4.68108E+02  3.62339E-01  3.10859E-01 -1.29275E-01  5.14794E-02  3.56716E-01  4.68106E+02  4.43395E-01  3.65208E-01 -1.30254E-01  7.81871E-02  3.54703E-01  4.68105E+02  4.82044E-01  4.09963E-01 -1.30828E-01  7.20806E-02  3.53505E-01  4.68105E+02  5.18271E-01  4.53447E-01 -1.31368E-01  6.48236E-02  3.52373E-01  4.68104E+02  5.53069E-01  4.93610E-01 -1.31873E-01  5.94585E-02  3.51317E-01  4.68103E+02  5.85355E-01  5.31153E-01 -1.32338E-01  5.42017E-02  3.50343E-01  4.68102E+02  6.20962E-01  5.68849E-01 -1.32826E-01  5.21131E-02  3.49320E-01  4.40483E+02  7.84820E-02  6.40420E-02  1.02543E-02  1.44399E-02  1.24716E-01
  1.50000E+01 4.53345E+02  5.36643E-01  3.33720E-01 -2.01316E-01  2.02923E-01  2.93335E-01  4.53371E+02  4.49799E-01  3.46696E-01 -2.00430E-01  1.03104E-01  2.95488E-01  4.53380E+02  4.36659E-01  3.99712E-01 -2.00407E-01  3.69471E-02  2.95703E-01  4.53363E+02  5.25515E-01  4.69661E-01 -2.01452E-01  5.58535E-02  2.93425E-01  4.53355E+02  5.78634E-01  5.27292E-01 -2.02099E-01  5.13421E-02  2.92053E-01  4.53347E+02  6.29346E-01  5.83300E-01 -2.02711E-01  4.60454E-02  2.90756E-01  4.53340E+02  6.77169E-01  6.35044E-01 -2.03281E-01  4.21248E-02  2.89546E-01  4.53334E+02  7.21729E-01  6.83421E-01 -2.03806E-01  3.83078E-02  2.88430E-01  4.53326E+02  7.68740E-01  7.32002E-01 -2.04351E-01  3.67382E-02  2.87261E-01  4.32749E+02  9.46571E-02  8.36392E-02 -6.91430E-02  1.10180E-02  4.06899E-02
