 time T1_ox_met uel1_tot uel1_sp eh1_sp_ave uel1_mag eh1_mag_ave T2_ox_met uel2_tot uel2_sp eh2_sp_ave uel2_mag eh2_mag_ave T3_ox_met uel3_tot uel3_sp eh3_sp_ave uel3_mag eh3_mag_ave T4_ox_met uel4_tot uel4_sp eh4_sp_ave uel4_mag eh4_mag_ave T5_ox_met uel5_tot uel5_sp eh5_sp_ave uel5_mag eh5_mag_ave T6_ox_met uel6_tot uel6_sp eh6_sp_ave uel6_mag eh6_mag_ave T7_ox_met uel7_tot uel7_sp eh7_sp_ave uel7_mag eh7_mag_ave T8_ox_met uel8_tot uel8_sp eh8_sp_ave uel8_mag eh8_mag_ave T9_ox_met uel9_tot uel9_sp eh9_sp_ave uel9_mag eh9_mag_ave T10_ox_met uel10_tot uel10_sp eh10_sp_ave uel10_mag eh10_mag_ave
  0.00000E+00 5.86176E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.85998E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.85935E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.86051E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.86109E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.86162E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.86212E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.86259E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.86309E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.02362E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.66667E+00 5.71417E+02  1.25737E-02  1.02422E-02 -5.06292E-02  2.33154E-03 -2.45907E-02  5.71261E+02  1.17386E-02  1.06208E-02 -5.04836E-02  1.11786E-03 -2.41051E-02  5.71206E+02  1.26280E-02  1.22337E-02 -5.04886E-02  3.94250E-04 -2.39436E-02  5.71308E+02  1.50096E-02  1.43858E-02 -5.06735E-02  6.23832E-04 -2.42758E-02  5.71358E+02  1.67429E-02  1.61552E-02 -5.07905E-02  5.87695E-04 -2.44436E-02  5.71405E+02  1.84146E-02  1.78753E-02 -5.09014E-02  5.39300E-04 -2.45999E-02  5.71449E+02  1.99695E-02  1.94654E-02 -5.10046E-02  5.04126E-04 -2.47476E-02  5.71489E+02  2.14202E-02  2.09526E-02 -5.10999E-02  4.67619E-04 -2.48834E-02  5.71533E+02  2.29057E-02  2.24476E-02 -5.11987E-02  4.58040E-04 -2.50306E-02  4.94627E+02  1.00037E-03  2.05273E-04 -9.03863E-03  7.95101E-04  2.71900E-02
  3.33333E+00 5.56658E+02  3.56287E-02  3.50672E-02 -9.36817E-02  5.61526E-04 -1.20680E-02  5.56525E+02  3.66049E-02  3.63651E-02 -9.34146E-02  2.39753E-04 -1.11634E-02  5.56478E+02  4.19796E-02  4.18982E-02 -9.34355E-02  8.14171E-05 -1.08808E-02  5.56565E+02  4.94259E-02  4.92852E-02 -9.37935E-02  1.40697E-04 -1.15287E-02  5.56608E+02  5.55007E-02  5.53622E-02 -9.40227E-02  1.38450E-04 -1.18642E-02  5.56648E+02  6.14049E-02  6.12727E-02 -9.42403E-02  1.32145E-04 -1.21771E-02  5.56685E+02  6.68671E-02  6.67391E-02 -9.44425E-02  1.28047E-04 -1.24723E-02  5.56720E+02  7.19764E-02  7.18537E-02 -9.46293E-02  1.22653E-04 -1.27439E-02  5.56757E+02  7.71217E-02  7.69975E-02 -9.48227E-02  1.24252E-04 -1.30368E-02  4.86893E+02  3.30002E-03  8.39169E-04 -1.82752E-02  2.46085E-03  4.78344E-02
  5.00000E+00 5.41899E+02  7.08788E-02  6.69627E-02 -1.29456E-01  3.91606E-03  3.18694E-02  5.41789E+02  7.15570E-02  6.94556E-02 -1.29100E-01  2.10140E-03  3.30498E-02  5.41750E+02  8.08198E-02  8.00545E-02 -1.29154E-01  7.65346E-04  3.33605E-02  5.41822E+02  9.53155E-02  9.42027E-02 -1.29672E-01  1.11283E-03  3.24231E-02  5.41857E+02  1.06854E-01  1.05852E-01 -1.30010E-01  1.00177E-03  3.19134E-02  5.41890E+02  1.18069E-01  1.17189E-01 -1.30331E-01  8.80677E-04  3.14359E-02  5.41922E+02  1.28470E-01  1.27679E-01 -1.30628E-01  7.90379E-04  3.09871E-02  5.41950E+02  1.38206E-01  1.37500E-01 -1.30904E-01  7.05946E-04  3.05738E-02  5.41982E+02  1.48044E-01  1.47380E-01 -1.31188E-01  6.63798E-04  3.01326E-02  4.79158E+02  6.03816E-03  1.93948E-03 -2.77830E-02  4.09869E-03  6.17335E-02
  6.66667E+00 5.27140E+02  1.27275E-01  1.01413E-01 -1.59313E-01  2.58624E-02  8.18998E-02  5.27052E+02  1.18555E-01  1.05213E-01 -1.58894E-01  1.33419E-02  8.32767E-02  5.27021E+02  1.26121E-01  1.21318E-01 -1.58993E-01  4.80243E-03  8.35669E-02  5.27079E+02  1.49990E-01  1.42810E-01 -1.59659E-01  7.18006E-03  8.23576E-02  5.27107E+02  1.67083E-01  1.60522E-01 -1.60101E-01  6.56104E-03  8.16725E-02  5.27133E+02  1.83621E-01  1.77770E-01 -1.60521E-01  5.85115E-03  8.10285E-02  5.27158E+02  1.99062E-01  1.93738E-01 -1.60911E-01  5.32423E-03  8.04251E-02  5.27181E+02  2.13512E-01  2.08694E-01 -1.61271E-01  4.81757E-03  7.98689E-02  5.27206E+02  2.28343E-01  2.23748E-01 -1.61642E-01  4.59504E-03  7.92800E-02  4.71423E+02  8.64870E-03  3.54507E-03 -3.75621E-02  5.10363E-03  6.88871E-02
  8.33333E+00 5.12381E+02  2.04700E-01  1.34428E-01 -1.83421E-01  7.02720E-02  1.35002E-01  5.12316E+02  1.75372E-01  1.39494E-01 -1.82957E-01  3.58787E-02  1.36563E-01  5.12293E+02  1.73785E-01  1.60910E-01 -1.83107E-01  1.28751E-02  1.36829E-01  5.12336E+02  2.08885E-01  1.89490E-01 -1.83911E-01  1.93949E-02  1.35358E-01  5.12357E+02  2.30859E-01  2.13064E-01 -1.84451E-01  1.77944E-02  1.34503E-01  5.12376E+02  2.51965E-01  2.36035E-01 -1.84966E-01  1.59298E-02  1.33697E-01  5.12394E+02  2.71862E-01  2.57314E-01 -1.85442E-01  1.45482E-02  1.32944E-01  5.12411E+02  2.90462E-01  2.77254E-01 -1.85883E-01  1.32086E-02  1.32249E-01  5.12430E+02  3.09978E-01  2.97333E-01 -1.86335E-01  1.26452E-02  1.31517E-01  4.63688E+02  1.08602E-02  5.69595E-03 -4.76124E-02  5.16429E-03  6.92953E-02
  1.00000E+01 4.97622E+02  3.03152E-01  1.62832E-01 -2.01871E-01  1.40320E-01  1.90769E-01  4.97580E+02  2.40292E-01  1.69005E-01 -2.01383E-01  7.12864E-02  1.92494E-01  4.97565E+02  2.20582E-01  1.95038E-01 -2.01593E-01  2.55437E-02  1.92728E-01  4.97593E+02  2.68399E-01  2.29778E-01 -2.02520E-01  3.86204E-02  1.91007E-01  4.97606E+02  2.93965E-01  2.58461E-01 -2.03153E-01  3.55031E-02  1.89987E-01  4.97619E+02  3.18271E-01  2.86429E-01 -2.03757E-01  3.18421E-02  1.89025E-01  4.97631E+02  3.41485E-01  3.12353E-01 -2.04315E-01  2.91320E-02  1.88126E-01  4.97642E+02  3.63153E-01  3.36660E-01 -2.04831E-01  2.64931E-02  1.87297E-01  4.97654E+02  3.86557E-01  3.61148E-01 -2.05360E-01  2.54083E-02  1.86426E-01  4.55953E+02  1.26961E-02  8.43321E-03 -5.79340E-02  4.26290E-03  6.29580E-02
  1.16667E+01 4.82863E+02  3.97929E-01  1.91572E-01 -2.18963E-01  2.06357E-01  2.31344E-01  4.82844E+02  3.03540E-01  1.98907E-01 -2.18473E-01  1.04633E-01  2.33210E-01  4.82837E+02  2.67115E-01  2.29652E-01 -2.18751E-01  3.74635E-02  2.33404E-01  4.82849E+02  3.27340E-01  2.70636E-01 -2.19790E-01  5.67036E-02  2.31443E-01  4.82856E+02  3.56662E-01  3.04509E-01 -2.20509E-01  5.21523E-02  2.30264E-01  4.82862E+02  3.84352E-01  3.37556E-01 -2.21196E-01  4.67957E-02  2.29150E-01  4.82867E+02  4.11034E-01  3.68202E-01 -2.21830E-01  4.28318E-02  2.28111E-01  4.82872E+02  4.35918E-01  3.96950E-01 -2.22417E-01  3.89677E-02  2.27152E-01  4.82878E+02  4.63310E-01  4.25921E-01 -2.23017E-01  3.73892E-02  2.26148E-01  4.48218E+02  1.45073E-02  1.18152E-02 -6.85737E-02  2.69210E-03  5.00315E-02
  1.33333E+01 4.68104E+02  4.60078E-01  2.24546E-01 -2.37059E-01  2.35532E-01  2.47157E-01  4.68107E+02  3.52687E-01  2.33212E-01 -2.36564E-01  1.19475E-01  2.49203E-01  4.68108E+02  3.12121E-01  2.69353E-01 -2.36906E-01  4.27684E-02  2.49382E-01  4.68106E+02  3.82164E-01  3.17487E-01 -2.38055E-01  6.46773E-02  2.47181E-01  4.68105E+02  4.16749E-01  3.57299E-01 -2.38859E-01  5.94502E-02  2.45848E-01  4.68105E+02  4.49469E-01  3.96156E-01 -2.39627E-01  5.33131E-02  2.44588E-01  4.68104E+02  4.80972E-01  4.32201E-01 -2.40337E-01  4.87708E-02  2.43413E-01  4.68103E+02  5.10373E-01  4.66025E-01 -2.40994E-01  4.43486E-02  2.42328E-01  4.68102E+02  5.42649E-01  5.00119E-01 -2.41663E-01  4.25299E-02  2.41194E-01  4.40483E+02  1.75777E-02  1.63575E-02 -8.06854E-02  1.22028E-03  3.36843E-02
  1.50000E+01 4.53345E+02  4.80975E-01  2.62189E-01 -2.56160E-01  2.18787E-01  2.38210E-01  4.53371E+02  3.83622E-01  2.72372E-01 -2.55654E-01  1.11250E-01  2.40471E-01  4.53380E+02  3.54493E-01  3.14663E-01 -2.56057E-01  3.98303E-02  2.40664E-01  4.53363E+02  4.31013E-01  3.70941E-01 -2.57316E-01  6.00727E-02  2.38220E-01  4.53355E+02  4.72641E-01  4.17515E-01 -2.58204E-01  5.51259E-02  2.36738E-01  4.53347E+02  5.12341E-01  4.62985E-01 -2.59052E-01  4.93566E-02  2.35337E-01  4.53340E+02  5.50257E-01  5.05173E-01 -2.59835E-01  4.50836E-02  2.34031E-01  4.53334E+02  5.85709E-01  5.44770E-01 -2.60560E-01  4.09385E-02  2.32825E-01  4.53326E+02  6.23891E-01  5.84690E-01 -2.61298E-01  3.92018E-02  2.31565E-01  4.32749E+02  2.28119E-02  2.25647E-02 -9.47657E-02  2.47225E-04  1.51616E-02
